st_text,ts,sub,frm,email,tag,mid,link
Sent,19-04-2026 13:44:04,Noticed something about Damira Dental Studios's site,geri@smartflowdev.com,oxford.reception@damiradental.co.uk,NA,<202604191144.10856220180@smtp-relay.mailin.fr>,NA
First opening,19-04-2026 13:44:03,Honest question about Manor Dental Care's website,geri@smartflowdev.com,reception.manor@colosseumdental.co.uk,NA,<202604191143.70823991372@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:59,Honest question about Manor Dental Care's website,geri@smartflowdev.com,reception.manor@colosseumdental.co.uk,NA,<202604191143.70823991372@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:58,Honest question about Manor Dental Care's website,geri@smartflowdev.com,reception.manor@colosseumdental.co.uk,NA,<202604191143.70823991372@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:52,St Giles' Dentists — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,enquiries@42stgiles.com,NA,<202604191143.21774975743@smtp-relay.mailin.fr>,NA
Hard bounce,19-04-2026 13:43:52,Noticed something about Moreton Road Dental Practice's site,geri@smartflowdev.com,info_mrdp@btinternet.com,NA,<202604191143.63521608021@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:46,Noticed something about Moreton Road Dental Practice's site,geri@smartflowdev.com,info_mrdp@btinternet.com,NA,<202604191143.63521608021@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:40,Honest question about DentOutline's website,geri@smartflowdev.com,office@dentoutline.co.uk,NA,<202604191143.45507951623@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:39,Honest question about DentOutline's website,geri@smartflowdev.com,office@dentoutline.co.uk,NA,<202604191143.45507951623@smtp-relay.mailin.fr>,NA
Deferred,19-04-2026 13:43:34,Ocean Orthodontic Clinic — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@oceanorthodonticclinic.co.uk,NA,<202604191143.93677222430@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:33,Ocean Orthodontic Clinic — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@oceanorthodonticclinic.co.uk,NA,<202604191143.93677222430@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:29,Noticed something about Sciennes Dental Care's site,geri@smartflowdev.com,info@sciennesdental.co.uk,NA,<202604191143.47988432868@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:27,Noticed something about Sciennes Dental Care's site,geri@smartflowdev.com,info@sciennesdental.co.uk,NA,<202604191143.47988432868@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:20,Honest question about Murrayfield Dental Practice's website,geri@smartflowdev.com,info@murrayfielddental.co.uk,NA,<202604191143.29399425387@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:15,The Dental Practise — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@4greatstuartstreet.com,NA,<202604191143.98056921004@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:13,The Dental Practise — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@4greatstuartstreet.com,NA,<202604191143.98056921004@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:10,Noticed something about Meadows Dental Clinic's site,geri@smartflowdev.com,reception@meadowsdentalclinic.co.uk,NA,<202604191143.79218085875@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:07,Noticed something about Meadows Dental Clinic's site,geri@smartflowdev.com,reception@meadowsdentalclinic.co.uk,NA,<202604191143.79218085875@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:43:03,Honest question about Bite Dentistry's website,geri@smartflowdev.com,info@bitedentistry.co.uk,NA,<202604191143.60210669733@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:43:01,Honest question about Bite Dentistry's website,geri@smartflowdev.com,info@bitedentistry.co.uk,NA,<202604191143.60210669733@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:56,Duddingston Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@duddingstondentalpractice.co.uk,NA,<202604191142.62101577217@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:54,Duddingston Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@duddingstondentalpractice.co.uk,NA,<202604191142.62101577217@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:50,Noticed something about Downie Harper and Shanks's site,geri@smartflowdev.com,reception@shanksdentalcare.co.uk,NA,<202604191142.74845887940@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:42:48,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,19-04-2026 13:42:48,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,19-04-2026 13:42:48,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,19-04-2026 13:42:48,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Sent,19-04-2026 13:42:48,Noticed something about Downie Harper and Shanks's site,geri@smartflowdev.com,reception@shanksdentalcare.co.uk,NA,<202604191142.74845887940@smtp-relay.mailin.fr>,NA
Deferred,19-04-2026 13:42:44,Honest question about Vitaliteeth Dental Spa's website,geri@smartflowdev.com,info@vitaliteeth.co.uk,NA,<202604191142.38047612033@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:42,Honest question about Vitaliteeth Dental Spa's website,geri@smartflowdev.com,info@vitaliteeth.co.uk,NA,<202604191142.38047612033@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:37,Duddingston Park — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,enquiries@duddingstonpark.co.uk,NA,<202604191142.51099679844@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:35,Duddingston Park — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,enquiries@duddingstonpark.co.uk,NA,<202604191142.51099679844@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:31,Noticed something about Marchmont Dental Care's site,geri@smartflowdev.com,enquiries@marchmontdentalcare.co.uk,NA,<202604191142.13494419210@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:29,Noticed something about Marchmont Dental Care's site,geri@smartflowdev.com,enquiries@marchmontdentalcare.co.uk,NA,<202604191142.13494419210@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:25,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:23,Honest question about Seven Hills Dental Practice's website,geri@smartflowdev.com,info@sevenhillsdental.co.uk,NA,<202604191142.29983870777@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:42:18,Montgomery Street Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@montgomerystreetdentalcare.co.uk,NA,<202604191142.84762901389@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:17,Montgomery Street Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@montgomerystreetdentalcare.co.uk,NA,<202604191142.84762901389@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:12,Noticed something about Citrus Dental Care's site,geri@smartflowdev.com,info@citrusdentalcare.co.uk,NA,<202604191142.94623604237@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:10,Noticed something about Citrus Dental Care's site,geri@smartflowdev.com,info@citrusdentalcare.co.uk,NA,<202604191142.94623604237@smtp-relay.mailin.fr>,NA
Deferred,19-04-2026 13:42:05,Honest question about Ocean Drive Dental Care's website,geri@smartflowdev.com,info@oceandrivedentalcare.co.uk,NA,<202604191142.34819625424@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:42:04,Honest question about Ocean Drive Dental Care's website,geri@smartflowdev.com,info@oceandrivedentalcare.co.uk,NA,<202604191142.34819625424@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:42:01,Ripple Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,ripple-dental@dentallymail.co.uk,NA,<202604191141.38040145732@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:58,Ripple Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,ripple-dental@dentallymail.co.uk,NA,<202604191141.38040145732@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:53,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:53,Noticed something about EH10 Dental's site,geri@smartflowdev.com,info@eh10dental.com,NA,<202604191141.24500636360@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:41:52,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,19-04-2026 13:41:51,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,https://smartflowdev.com
First opening,19-04-2026 13:41:51,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:51,Noticed something about EH10 Dental's site,geri@smartflowdev.com,info@eh10dental.com,NA,<202604191141.24500636360@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:47,Honest question about Barbour Dental Practice's website,geri@smartflowdev.com,info@barbourdentalcare.co.uk,NA,<202604191141.13508164236@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:45,Honest question about Barbour Dental Practice's website,geri@smartflowdev.com,info@barbourdentalcare.co.uk,NA,<202604191141.13508164236@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:41:43,EGT — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smile@edinburghgumsandteeth.co.uk,NA,<202604191141.45442676283@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:42,Ardmillan Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@ardmillanorthodontics.co.uk,NA,<202604191141.42151121387@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:38,Ardmillan Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@ardmillanorthodontics.co.uk,NA,<202604191141.42151121387@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:41:33,Noticed something about Howard Place Dental Practice's site,geri@smartflowdev.com,info@howardplacedemtal.com,NA,<202604191141.66671863786@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:32,Noticed something about Howard Place Dental Practice's site,geri@smartflowdev.com,info@howardplacedemtal.com,NA,<202604191141.66671863786@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:29,Honest question about Holyrood Dental Care's website,geri@smartflowdev.com,info@holyrooddentalcare.co.uk,NA,<202604191141.56106327893@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:26,Honest question about Holyrood Dental Care's website,geri@smartflowdev.com,info@holyrooddentalcare.co.uk,NA,<202604191141.56106327893@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:21,James L R O'Donnell — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@jlrodonnell.com,NA,<202604191141.89499511586@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:20,James L R O'Donnell — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@jlrodonnell.com,NA,<202604191141.89499511586@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:15,Noticed something about LW Dental's site,geri@smartflowdev.com,info@lwdental.co.uk,NA,<202604191141.62982920015@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:13,Noticed something about LW Dental's site,geri@smartflowdev.com,info@lwdental.co.uk,NA,<202604191141.62982920015@smtp-relay.mailin.fr>,NA
First opening,19-04-2026 13:41:12,Honest question about A S Endodontics's website,geri@smartflowdev.com,info@asendodontics.com,NA,<202604191141.21826445590@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:41:09,Honest question about A S Endodontics's website,geri@smartflowdev.com,info@asendodontics.com,NA,<202604191141.21826445590@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:07,Honest question about A S Endodontics's website,geri@smartflowdev.com,info@asendodontics.com,NA,<202604191141.21826445590@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:41:00,EGT — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,smile@edinburghgumsandteeth.co.uk,NA,<202604191141.45442676283@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:56,Noticed something about Barron Dental's site,geri@smartflowdev.com,info@barrondental.com,NA,<202604191140.44856608438@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:55,Noticed something about Barron Dental's site,geri@smartflowdev.com,info@barrondental.com,NA,<202604191140.44856608438@smtp-relay.mailin.fr>,NA
Deferred,19-04-2026 13:40:50,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:48,Honest question about Cwtch Dental Care's website,geri@smartflowdev.com,hello@cwtchdental.co.uk,NA,<202604191140.97825726076@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:40:45,Honest question about Pontcanna Dental Care's website,geri@smartflowdev.com,smile@pontcannadental.co.uk,NA,<202604191140.56487340549@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,19-04-2026 13:40:45,Honest question about Pontcanna Dental Care's website,geri@smartflowdev.com,smile@pontcannadental.co.uk,NA,<202604191140.56487340549@smtp-relay.mailin.fr>,https://smartflowdev.com
Delivered,19-04-2026 13:40:44,Chapter One Dental Clinic — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@chapteronedental.com,NA,<202604191140.58869180577@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:42,Chapter One Dental Clinic — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@chapteronedental.com,NA,<202604191140.58869180577@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:36,Noticed something about Your Dentist's site,geri@smartflowdev.com,info@dentistzone.co.uk,NA,<202604191140.31493154887@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:35,Noticed something about Your Dentist's site,geri@smartflowdev.com,info@dentistzone.co.uk,NA,<202604191140.31493154887@smtp-relay.mailin.fr>,NA
First opening,19-04-2026 13:40:34,Honest question about Pontcanna Dental Care's website,geri@smartflowdev.com,smile@pontcannadental.co.uk,NA,<202604191140.56487340549@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:32,Noticed something about Bulwell House Dental Practice's site,geri@smartflowdev.com,bulwellhouse@rodericksdental.co.uk,NA,<202604191139.71370178798@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:32,Honest question about Pontcanna Dental Care's website,geri@smartflowdev.com,smile@pontcannadental.co.uk,NA,<202604191140.56487340549@smtp-relay.mailin.fr>,NA
First opening,19-04-2026 13:40:31,Noticed something about Bulwell House Dental Practice's site,geri@smartflowdev.com,bulwellhouse@rodericksdental.co.uk,NA,<202604191139.71370178798@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:30,Honest question about Pontcanna Dental Care's website,geri@smartflowdev.com,smile@pontcannadental.co.uk,NA,<202604191140.56487340549@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:40:25,Andrew Thomas Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@andrewthomasdental.co.uk,NA,<202604191140.70274234400@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:23,Andrew Thomas Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@andrewthomasdental.co.uk,NA,<202604191140.70274234400@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:18,Noticed something about Contempory Dental's site,geri@smartflowdev.com,care@contemporarydental.co.uk,NA,<202604191140.86768140009@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:16,Noticed something about Contempory Dental's site,geri@smartflowdev.com,care@contemporarydental.co.uk,NA,<202604191140.86768140009@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:12,Honest question about Southernhay Dental Practice's website,geri@smartflowdev.com,reception@southernhaydental.co.uk,NA,<202604191140.41169601049@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:10,Honest question about Southernhay Dental Practice's website,geri@smartflowdev.com,reception@southernhaydental.co.uk,NA,<202604191140.41169601049@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:05,Noticed something about Just Smile Dental's site,geri@smartflowdev.com,info@justsmiledental.co.uk,NA,<202604191139.65460712488@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:40:04,Inspired Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,exeter@inspireddentalcare.co.uk,NA,<202604191140.20181176530@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:40:03,Inspired Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,exeter@inspireddentalcare.co.uk,NA,<202604191140.20181176530@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:39:59,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,19-04-2026 13:39:59,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,19-04-2026 13:39:59,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Clicked,19-04-2026 13:39:59,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,https://smartflowdev.com
Sent,19-04-2026 13:39:57,Noticed something about Just Smile Dental's site,geri@smartflowdev.com,info@justsmiledental.co.uk,NA,<202604191139.65460712488@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:53,Honest question about Lady Bay Dental Care's website,geri@smartflowdev.com,info@ladybaydentalcare.co.uk,NA,<202604191139.33412716721@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:52,Woodthorpe Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@woodthorpedentalcare.co.uk,NA,<202604191139.20053500403@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:51,Honest question about Lady Bay Dental Care's website,geri@smartflowdev.com,info@ladybaydentalcare.co.uk,NA,<202604191139.33412716721@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:44,Woodthorpe Dental Care — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@woodthorpedentalcare.co.uk,NA,<202604191139.20053500403@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:40,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:38,Noticed something about Bridgford Dental Practice's site,geri@smartflowdev.com,info@bridgforddental.co.uk,NA,<202604191139.19235290605@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:33,Noticed something about The Smile Centre's site,geri@smartflowdev.com,smile.centre@rodericksdental.co.uk,NA,<202604191139.49421972797@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:39:33,Honest question about Kevin Manners Denture Clinics's website,geri@smartflowdev.com,info@www.denturesuk.com,NA,<202604191139.21039801543@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:39:32,Noticed something about The Smile Centre's site,geri@smartflowdev.com,smile.centre@rodericksdental.co.uk,NA,<202604191139.49421972797@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Sent,19-04-2026 13:39:32,Honest question about Kevin Manners Denture Clinics's website,geri@smartflowdev.com,info@www.denturesuk.com,NA,<202604191139.21039801543@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:39:31,Noticed something about The Smile Centre's site,geri@smartflowdev.com,smile.centre@rodericksdental.co.uk,NA,<202604191139.49421972797@smtp-relay.mailin.fr>,https://smartflowdev.com
First opening,19-04-2026 13:39:31,Noticed something about The Smile Centre's site,geri@smartflowdev.com,smile.centre@rodericksdental.co.uk,NA,<202604191139.49421972797@smtp-relay.mailin.fr>,NA
Deferred,19-04-2026 13:39:30,Noticed something about Bulwell House Dental Practice's site,geri@smartflowdev.com,bulwellhouse@rodericksdental.co.uk,NA,<202604191139.71370178798@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:27,Loughborough Road Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@lrdp.org,NA,<202604191139.94102695310@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:25,Loughborough Road Dental Practice — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@lrdp.org,NA,<202604191139.94102695310@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:19,Noticed something about The Smile Centre's site,geri@smartflowdev.com,smile.centre@rodericksdental.co.uk,NA,<202604191139.49421972797@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:14,Honest question about Market Street Dental Care's website,geri@smartflowdev.com,reception@msdental.co.uk,NA,<202604191139.56200727142@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:13,Honest question about Market Street Dental Care's website,geri@smartflowdev.com,reception@msdental.co.uk,NA,<202604191139.56200727142@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:39:08,The Ropewalk Dental and — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@ropewalkdental.co.uk,NA,<202604191139.82069156180@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:07,The Ropewalk Dental and — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,reception@ropewalkdental.co.uk,NA,<202604191139.82069156180@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:39:00,Noticed something about Bulwell House Dental Practice's site,geri@smartflowdev.com,bulwellhouse@rodericksdental.co.uk,NA,<202604191139.71370178798@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:38:56,Honest question about The Cosmetic Dental Clinic's website,geri@smartflowdev.com,info@thecosmeticdentalclinic.com,NA,<202604191138.81876973845@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:38:54,Honest question about The Cosmetic Dental Clinic's website,geri@smartflowdev.com,info@thecosmeticdentalclinic.com,NA,<202604191138.81876973845@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:38:53,Gosforth Smiles — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@55gosforthsmiles.co.uk,NA,<202604191138.48955858322@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:38:48,Gosforth Smiles — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@55gosforthsmiles.co.uk,NA,<202604191138.48955858322@smtp-relay.mailin.fr>,NA
